rank,amfi_code,scheme_name,cagr_3Y,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,final_score
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,33.991970400445304,1.6374412727931267,0.2698375144191807,1.46,-0.11265729075028275,97.5,100.0,85.0,57.49999999999999,82.5,88.125
2,148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.17135767741186,1.3677493476552898,0.2827036785246582,1.6,-0.1639674294693263,82.5,95.0,92.5,91.25,50.0,85.6875
3,120843,Kotak Flexicap Fund - Regular - Growth,29.57511058901836,1.4589078451065725,0.27330465038306057,1.45,-0.1297396816518679,85.0,97.5,90.0,55.00000000000001,70.0,83.125
4,119551,SBI Bluechip Fund - Regular Plan - Growth,30.448613060027817,1.3314911422389428,0.23201007160635082,1.54,-0.1501238549864533,87.5,92.5,77.5,76.25,60.0,82.3125
5,101206,ABSL Frontline Equity Fund - Regular - Growth,28.960211096593724,1.1069673098448296,0.21399784776051212,1.6,-0.11291596329323073,80.0,80.0,72.5,91.25,80.0,80.1875
6,149323,DSP Midcap Fund - Regular - Growth,26.863103668817146,1.2346087993759254,0.26598577542043045,1.61,-0.17248105753451382,75.0,87.5,82.5,95.0,47.5,79.875
7,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.43397122906222,1.1843591118698746,0.2719535450128533,1.38,-0.16217208574644848,92.5,85.0,87.5,42.5,52.5,78.125
7,120505,ICICI Pru Midcap Fund - Regular - Growth,31.769242852237323,1.2965892692566354,0.2926358334175106,1.36,-0.18188513572116294,90.0,90.0,95.0,37.5,40.0,78.125
9,119094,Axis Midcap Fund - Regular - Growth,35.10252788903541,1.061593664010869,0.2607666908004223,1.38,-0.20960883862039192,100.0,75.0,80.0,42.5,32.5,74.375
10,120504,ICICI Pru Bluechip Fund - Direct - Growth,32.478927222623,1.1065013078923422,0.2119482701352573,0.8,-0.12588275606922517,95.0,77.5,70.0,30.0,72.5,73.625
11,149324,DSP Small Cap Fund - Regular - Growth,26.99350260734621,0.9861640817706759,0.3005787817097677,1.52,-0.31171900300634214,77.5,70.0,97.5,66.25,10.0,71.1875
12,118632,Nippon India Large Cap Fund - Regular - Growth,22.646647456747715,1.1744178338621243,0.21829397904608644,1.51,-0.17414075086657232,67.5,82.5,75.0,61.25000000000001,45.0,69.5625
13,119598,SBI Small Cap Fund - Regular Plan - Growth,26.66309129954312,0.9795542258744938,0.3033696538698332,1.43,-0.2870600572176455,72.5,65.0,100.0,52.5,12.5,67.125
14,102885,UTI Nifty 50 Index Fund - Regular - Growth,19.662361245910965,0.860071566249768,0.17048756803412696,1.57,-0.1085986215250232,57.49999999999999,60.0,55.00000000000001,85.0,85.0,64.5
15,102887,UTI Flexi Cap Fund - Regular - Growth,25.549670172502026,0.615895075535109,0.16211256794033255,1.64,-0.21539827112383225,70.0,45.0,50.0,98.75,27.500000000000004,59.8125
16,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.744434832760533,0.981776822069829,0.20873010086942337,1.52,-0.1527259422823477,42.5,67.5,67.5,66.25,55.00000000000001,58.5625
17,125497,HDFC Top 100 Fund - Direct Plan - Growth,18.429918008610045,0.8040011661011207,0.17729754927531766,0.92,-0.15200013055606398,55.00000000000001,55.00000000000001,62.5,35.0,57.49999999999999,53.75
